Episode,Reward,Accumulated Reward,Average Reward,Loss
372,10,3635,9.771505376344086,7.79501351644285e-05
373,10,3645,9.772117962466488,7.419498433591798e-05
374,10,3655,9.772727272727273,7.06250430084765e-05
375,10,3665,9.773333333333333,6.722435500705615e-05
376,10,3675,9.773936170212766,6.398683035513386e-05
377,10,3685,9.774535809018568,6.0897928051417693e-05
378,10,3695,9.775132275132275,5.796086406917311e-05
379,10,3705,9.775725593667547,5.516179953701794e-05
380,10,3715,9.776315789473685,5.249581590760499e-05
381,10,3725,9.776902887139107,4.9958111048908904e-05
382,10,3735,9.777486910994764,4.7536403144476935e-05
383,10,3745,9.778067885117494,4.523409006651491e-05
384,10,3755,9.778645833333334,4.303948298911564e-05
385,10,3765,9.779220779220779,4.094875112059526e-05
386,10,3775,9.779792746113989,3.896504858857952e-05
387,10,3785,9.780361757105943,3.707081123138778e-05
388,10,3795,9.780927835051546,3.526299769873731e-05
389,10,3805,9.781491002570695,3.355137960170396e-05
390,10,3815,9.782051282051283,3.1913441489450634e-05
391,10,3825,9.782608695652174,3.0358947697095573e-05
392,10,3835,9.783163265306122,2.8878761440864764e-05
393,10,3845,9.783715012722647,2.7470183340483345e-05
394,10,3855,9.784263959390863,2.6124958822038025e-05
395,10,3865,9.784810126582279,2.4846427550073713e-05
396,10,3875,9.785353535353535,2.3632079319213517e-05
397,10,3885,9.785894206549118,2.2474248908110894e-05
398,10,3895,9.78643216080402,2.137603769369889e-05
399,10,3905,9.786967418546366,2.0325189325376414e-05
400,10,3915,9.7875,1.9329861970618367e-05
401,10,3925,9.788029925187033,1.8378401364316233e-05
402,10,3935,9.788557213930348,1.7473959815106355e-05
403,10,3945,9.78908188585608,1.6614772903267294e-05
404,10,3955,9.78960396039604,1.5799123502802104e-05
405,10,3965,9.790123456790123,1.5021068975329399e-05
406,10,3975,9.79064039408867,1.4279299648478627e-05
407,10,3985,9.791154791154792,1.35765922095743e-05
408,10,3995,9.791666666666666,1.2907435120723676e-05
409,10,4005,9.792176039119804,1.2266755220480263e-05
410,10,4015,9.792682926829269,1.1661178177746478e-05
411,10,4025,9.793187347931873,1.1085590813308954e-05
412,10,4035,9.79368932038835,1.0535291039559525e-05
413,10,4045,9.794188861985472,1.0012932762037963e-05
414,10,4055,9.794685990338165,9.517440048512071e-06
415,10,4065,9.795180722891565,9.044452781381551e-06
416,10,4075,9.795673076923077,8.596430234319996e-06
417,10,4085,9.796163069544365,8.169226930476725e-06
418,10,4095,9.796650717703349,7.762112545606215e-06
419,10,4105,9.797136038186158,7.3773626354523e-06
420,10,4115,9.797619047619047,7.008221928117564e-06
421,10,4125,9.79809976247031,6.659916834905744e-06
422,10,4135,9.798578199052132,6.3287975535786245e-06
423,10,4145,9.79905437352246,6.011519872117788e-06
424,10,4155,9.799528301886792,5.710292953153839e-06
425,10,4165,9.8,5.4270640248432755e-06
426,10,4175,9.800469483568076,5.153538950253278e-06
427,10,4185,9.800936768149883,4.896829068457009e-06
428,10,4195,9.801401869158878,4.651425570045831e-06
429,10,4205,9.801864801864802,4.419272499944782e-06
430,10,4215,9.80232558139535,4.197573161945911e-06
431,10,4225,9.802784222737818,3.9859746721049305e-06
432,10,4235,9.80324074074074,3.7862737372051924e-06
433,10,4245,9.803695150115473,3.5958801163360476e-06
434,10,4255,9.804147465437788,3.4144661640311824e-06
435,10,4265,9.804597701149426,3.241711965529248e-06
436,10,4275,9.805045871559633,3.0792364213994006e-06
437,10,4285,9.805491990846681,2.9247032671264606e-06
438,10,4295,9.80593607305936,2.7759826934925513e-06
439,10,4305,9.806378132118452,2.636504177644383e-06
440,10,4315,9.806818181818182,2.5023621219588676e-06
441,10,4325,9.807256235827664,2.3768127448420273e-06
442,10,4335,9.807692307692308,2.2561482637684094e-06
443,10,4345,9.808126410835214,2.1418491087388247e-06
444,10,4355,9.808558558558559,2.0336603938631015e-06
445,10,4365,9.808988764044944,1.9298049664939754e-06
446,10,4375,9.809417040358744,1.8331414821659564e-06
447,10,4385,9.809843400447427,1.7389614868079661e-06
448,10,4395,9.810267857142858,1.6515077732037753e-06
449,10,4405,9.810690423162583,1.5676887414883822e-06
450,10,4415,9.811111111111112,1.4873952522975742e-06
451,10,4425,9.811529933481154,1.411828066011367e-06
452,10,4435,9.811946902654867,1.3395050473263836e-06
453,10,4445,9.812362030905078,1.271565793103946e-06
454,10,4455,9.812775330396477,1.2066038834745996e-06
455,10,4465,9.813186813186814,1.1445230256867944e-06
456,10,4475,9.81359649122807,1.0863759598578326e-06
457,10,4485,9.814004376367615,1.0308625633115298e-06
458,10,4495,9.814410480349345,9.778935918802745e-07
